iso,year,CLI
ESP,2006,100.9132
EST,2006,104.2857
FIN,2006,101.6537
FRA,2006,100.4543
GBR,2006,100.379
GRC,2006,99.10906
HUN,2006,100.9409
IDN,2006,97.40409
IND,2006,99.20157
IRL,2006,102.7612
ISR,2006,100.8321
ITA,2006,100.1296
JPN,2006,101.4031
KOR,2006,101.1811
MEX,2006,100.7372
NLD,2006,101.034
NOR,2006,101.4184
NZL,2006,99.57257
POL,2006,100.826
PRT,2006,99.69254
RUS,2006,101.4629
SVK,2006,100.6199
SVN,2006,101.134
SWE,2006,99.97504
TUR,2006,101.4438
USA,2006,101.0282
ZAF,2006,101.7702
AUS,2007,100.6213
AUT,2007,101.5658
BEL,2007,101.0662
BRA,2007,101.2456
CAN,2007,100.4175
CHE,2007,102.4525
CHL,2007,101.8017
CHN,2007,102.6738
CZE,2007,103.4849
DEU,2007,101.8799
DNK,2007,101.3381
EA19,2007,101.8792
ESP,2007,102.1253
EST,2007,108.9807
FIN,2007,102.2361
FRA,2007,101.4339
GBR,2007,101.69
GRC,2007,101.3774
HUN,2007,101.3476
IDN,2007,100.1172
IND,2007,100.203
IRL,2007,105.9656
ISR,2007,101.5985
ITA,2007,101.6952
JPN,2007,101.4256
KOR,2007,100.5388
MEX,2007,99.60013
NLD,2007,102.425
NOR,2007,101.9586
NZL,2007,101.7183
POL,2007,102.1419
PRT,2007,102.0636
RUS,2007,103.9494
SVK,2007,102.7831
SVN,2007,104.9188
SWE,2007,101.6852
TUR,2007,102.057
USA,2007,101.4695
ZAF,2007,102.576
AUS,2008,100.5138
AUT,2008,100.854
BEL,2008,100.9387
BRA,2008,103.2589
CAN,2008,100.2423
CHE,2008,101.0484
CHL,2008,100.5839
CHN,2008,102.0305
CZE,2008,102.1737
DEU,2008,101.4535
DNK,2008,101.344
EA19,2008,101.4917
ESP,2008,101.5939
EST,2008,103.4234
FIN,2008,100.1388
FRA,2008,101.0876
GBR,2008,100.3959
GRC,2008,101.931
HUN,2008,101.6916
IDN,2008,100.0438
IND,2008,100.5938
IRL,2008,105.1529
ISR,2008,103.2967
ITA,2008,101.4954
JPN,2008,100.5977
KOR,2008,99.621
MEX,2008,100.4195
NLD,2008,101.8653
NOR,2008,101.923
NZL,2008,99.6823
POL,2008,100.1072
PRT,2008,102.3315
RUS,2008,103.8202
SVK,2008,104.7232
SVN,2008,100.5526
SWE,2008,100.7768
TUR,2008,104.2442
